bigregn_code	bigregn_name	dc_code	dc_name	regn_code	regn_name	area_code	area_name	city_code	city_name	compete_store	hig_md_low_level	store_type	flop_type_name	innovate_type_name	openbusi_dt	store_code	store_name	subregn_code	subregn_name	is_enabled	deleted	sync_time
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0102000008	广州_洪好齐	0201	广州	未分类	中档店	加盟店		非创新店	2018-05-25	1546	广州市花都区京仕广场店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0102000003	广州_陈秋波	0201	广州	二级竞争店	中档店	加盟店		非创新店	2018-05-14	1547	广州市白云区深业江悦湾店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0207570008	广州_龙梓浩	0202	佛山	未分类	中档店	加盟店		非创新店	2018-06-03	1548	佛山市顺德区美的瀚城店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107630002	广州闭店	0204	中山	未分类	高档店	加盟店		非创新店	2018-06-08	1549	中山市南区恒大绿洲店	076400	广州闭店	0	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500021	珠海_王汉青	0205	珠海	二级竞争店	中档店	加盟店		非创新店	2018-06-11	1550	珠海市香洲区昌平路店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500012	湛江_陈义茂	0208	湛江	未分类	中档店	加盟店		非创新店	2018-06-29	1551	湛江市赤坎区华盛新城店	F0750004	湛江_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500012	湛江_陈义茂	0208	湛江	未分类	中档店	加盟店		非创新店	2018-06-17	1552	湛江市霞山区海静小区店	F0750004	湛江_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500012	湛江_陈义茂	0208	湛江	未分类	中档店	加盟店		非创新店	2018-06-29	1553	湛江市霞山区锦绣华景澳林居1号	F0750004	湛江_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107630001	广州_陈吓宁	0201	广州	未分类	中档店	加盟店		非创新店	2018-06-17	1554	广州市番禺区万博四路店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0102000008	广州_洪好齐	0201	广州	未分类	中档店	加盟店		非创新店	2018-06-23	1555	广州市花都区狮城国际店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
